Laptop Asus Zenbook UX425EA KI439T i7 1165G7/16GB/512GB SSD/Win 10 (No.00758226),30.699.000₫,,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 400 nits, Anti-glare LED-backlit
Intel Core i7-1165G7
16 GB, LPDDR4X, 4266 MHz
SSD 512 GB
Intel Iris Xe graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
0 Hỏi & đáp"
Laptop Asus Vivobook E210MA-GJ001T N4020/4GB/128GB eMMC/Win10 (No.00772213),7.499.000₫,,"11.6"", 1366 x 768 Pixel, TN, 60 Hz, 200 nits, BrightView LED Backlit
Intel Celeron N4020
4 GB, DDR4, 2400 MHz
eMMC 128GB
Intel HD Graphics 610","Tặng Chuột không dây Zadez M390
Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
349 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Laptop Acer Swift 3x SF314 510G 57MR i5 1135G7/8G/512GSSD/Intel Iris Xe Max 4GB/Win10 (No.00741404),22.999.000₫,,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, IPS LCD LED Backlit, True Tone
Intel Core i5-1135G7
8 GB, LPDDR4, 4266 MHz
SSD 512 GB
Intel Iris Xe Max 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
216 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
